country,year,co2_kt,co2_per_gdp,cereal_yield,fdi_perc_gdp,elec_access_perc,ch4_ttl,n2o_ttl,urb_pop_growth_perc,pop_growth_perc,gdp,gni_per_cap,pop,urb_pop,agr_land,co2_per_cap
ETH,2010,6473.2,0.07181900253488441,1767.3,0.9630306253599366,25.4968814849854,71258.86575,38921.31262,5.210884782326646,2.82098186260834,29933790334.34179,370.0,89237791,15455093,31.617861452808327,0.07253877451986682
ETH,2011,7551.5,0.07382485815789733,1876.6,1.9673566390525439,23.0,70283.84122,38359.39825,5.223891069184172,2.85029677836164,31952763089.330025,380.0,91817929,16283910,32.18678247932682,0.08224428586273168
ETH,2012,8559.0,0.076057627683947,1963.3,0.643172898229037,29.0165519714356,72736.22418,40455.03208,5.195780333797901,2.82765624318832,43310721414.08288,400.0,94451280,17152352,32.330835764456296,0.09061814726068297
ETH,2013,10190.8,0.083234787233859,2102.0,2.8204084831195098,30.7753524780273,74934.10215,41192.10991,5.009145147447721,2.74962070654197,47648276190.2977,460.0,97084366,18033421,32.518083417922824,0.1049684971934616
ETH,2014,12490.3,0.08411791843554228,2235.1,3.3356911106881486,27.2,77312.33512,42822.32574,4.957142099265377,2.70542811266671,55612228233.51786,540.0,99746766,18949891,32.70602387948059,0.12522009986769897
ETH,2015,13046.3,0.07806588047249831,2344.9,4.066488915368774,29.0,78962.41308,43929.57877,4.933553684573387,2.69539316663887,64589329344.6937,590.0,102471895,19908240,32.892960180184346,0.1273158850043712
ETH,2016,15247.2,0.07833076179975278,2352.2,5.576203187719149,42.9,81106.15261,45628.53216,4.94549465692669,2.71605397227228,74296745599.00476,650.0,105293228,20917553,33.079366025142434,0.14480703355395277
ETH,2017,15882.4,0.07383929528985038,2539.4,4.912701471794585,44.3,82703.35714,46534.81716,4.931696264825086,2.72133142564532,81770886908.51984,720.0,108197950,21975004,33.26392822269497,0.14679021182933685
ETH,2018,17028.4,0.07237543315025831,2729.8,3.9877197387646715,44.8443260192871,83783.48416,47230.17516,4.879236580266594,2.67332102071494,84269196152.03326,780.0,111129438,23073805,33.585234286790424,0.15323032588358812
ETH,2019,17708.0,0.06823066295164061,2831.8,2.657360154517191,48.0476188659668,90115.60119,51133.34736,4.856728303119951,2.656010133459,95912607970.1686,830.0,114120594,24222096,33.83885888005093,0.15516918883194736
FIN,2000,55097.5,0.3973281575138154,3498.7,10.714265643958047,100.0,7094.041481,6743.731956,0.4964153011163365,0.2076065154133,126019543413.3336,26480.0,5176209,4253964,7.281919957976296,10.644373130992198
